alpha,r,snr_db,accuracy,rho
0.2,0.1,-10,0.7979617834394904,0.005102040711790323
0.2,0.1,-5,0.8494267515923567,0.005102040711790323
0.2,0.1,0,0.8659872611464968,0.005102040711790323
0.2,0.1,5,0.8731210191082802,0.005102040711790323
0.2,0.1,10,0.8743949044585987,0.005102040711790323
0.25,0.1,-10,0.8173248407643312,0.0063775512389838696
0.25,0.1,-5,0.8636942675159236,0.0063775512389838696
0.25,0.1,0,0.8771974522292993,0.0063775512389838696
0.25,0.1,5,0.8822929936305732,0.0063775512389838696
0.25,0.1,10,0.8820382165605095,0.0063775512389838696
0.3,0.1,-10,0.8394904458598726,0.0076530613005161285
0.3,0.1,-5,0.8749044585987261,0.0076530613005161285
0.3,0.1,0,0.8843312101910829,0.0076530613005161285
0.3,0.1,5,0.8873885350318471,0.0076530613005161285
0.3,0.1,10,0.8876433121019108,0.0076530613005161285
0.4,0.1,-10,0.8494267515923567,0.010076530277729034
0.4,0.1,-5,0.8830573248407644,0.010076530277729034
0.4,0.1,0,0.8963057324840764,0.010076530277729034
0.4,0.1,5,0.8988535031847134,0.010076530277729034
0.4,0.1,10,0.8988535031847134,0.010076530277729034
0.5,0.1,-10,0.8659872611464968,0.012627551332116127
0.5,0.1,-5,0.8907006369426752,0.012627551332116127
0.5,0.1,0,0.902420382165605,0.012627551332116127
0.5,0.1,5,0.9057324840764331,0.012627551332116127
0.5,0.1,10,0.9072611464968153,0.012627551332116127
0.6,0.1,-10,0.8662420382165605,0.015178571455180645
0.6,0.1,-5,0.8988535031847134,0.015178571455180645
0.6,0.1,0,0.9067515923566879,0.015178571455180645
0.6,0.1,5,0.9085350318471338,0.015178571455180645
0.6,0.1,10,0.9100636942675159,0.015178571455180645
0.7,0.1,-10,0.8741401273885351,0.017602041363716125
0.7,0.1,-5,0.8991082802547771,0.017602041363716125
0.7,0.1,0,0.9113375796178343,0.017602041363716125
0.7,0.1,5,0.9126114649681528,0.017602041363716125
0.7,0.1,10,0.9128662420382165,0.017602041363716125
0.8,0.1,-10,0.8754140127388536,0.02015306055545807
0.8,0.1,-5,0.900891719745223,0.02015306055545807
0.8,0.1,0,0.913375796178344,0.02015306055545807
0.8,0.1,5,0.9126114649681528,0.02015306055545807
0.8,0.1,10,0.9156687898089172,0.02015306055545807
0.9,0.1,-10,0.8759235668789809,0.022576531395316124
0.9,0.1,-5,0.8996178343949045,0.022576531395316124
0.9,0.1,0,0.9113375796178343,0.022576531395316124
0.9,0.1,5,0.913375796178344,0.022576531395316124
0.9,0.1,10,0.9138853503184713,0.022576531395316124
1.0,0.1,-10,0.8685350318471338,0.025127550587058067
1.0,0.1,-5,0.9006369426751593,0.025127550587058067
1.0,0.1,0,0.9118471337579618,0.025127550587058067
1.0,0.1,5,0.9103184713375796,0.025127550587058067
1.0,0.1,10,0.9131210191082803,0.025127550587058067
